participantnum,stimulusid,stimulustype,state_or_event,orientation,position,length,delay,response
3,branch_RTME3,dualbranch,event,right,top,medium,6.0,RD
3,branch_RTSE2,dualbranch,event,right,bottom,short,4.0,RD_ID
3,branch_RTMS,dualbranch,state,right,top,medium,,RC
3,branch_RTLE3,dualbranch,event,right,bottom,long,6.0,RD
3,chain_RS,chain,,right,,short,,RC_IC
3,branch_RTME1,dualbranch,event,right,bottom,medium,2.0,RD
3,branch_RTSS,dualbranch,state,right,top,short,,RD_ID
3,branch_RTLE1,dualbranch,event,right,bottom,long,2.0,RC
3,branch_RTLE2,dualbranch,event,right,top,long,4.0,RD
3,branch_RTLS,dualbranch,state,right,top,long,,RD
4,chain_RL,chain,,right,,long,,RC
4,branch_RTMS,dualbranch,state,right,top,medium,,RC
4,branch_RTME2,dualbranch,event,right,top,medium,4.0,RC
4,branch_RTSE2,dualbranch,event,right,top,short,4.0,RC_IC
4,branch_RTSE1,dualbranch,event,right,top,short,2.0,RC_IC
4,chain_RM,chain,,right,,medium,,RC
4,branch_RTLE3,dualbranch,event,right,top,long,6.0,RC
4,branch_RTLE2,dualbranch,event,right,top,long,4.0,RC
4,branch_RTSE3,dualbranch,event,right,bottom,short,6.0,RC_IC
4,branch_RTLS,dualbranch,state,right,bottom,long,,RC
4,branch_RTME1,dualbranch,event,right,top,medium,2.0,RC
4,branch_RTLE1,dualbranch,event,right,bottom,long,2.0,RC
4,branch_RTME3,dualbranch,event,right,top,medium,6.0,RC
4,branch_RTSS,dualbranch,state,right,top,short,,RC_IC
4,chain_RS,chain,,right,,short,,RC_IC
5,branch_RTSE2,dualbranch,event,right,bottom,short,4.0,RC_IC
5,branch_RTMS,dualbranch,state,right,bottom,medium,,IC
5,branch_RTME3,dualbranch,event,right,top,medium,6.0,RD
5,branch_RTLE2,dualbranch,event,right,top,long,4.0,RD
5,chain_RL,chain,,right,,long,,RC
5,branch_RTME2,dualbranch,event,right,bottom,medium,4.0,RC
5,branch_RTLE1,dualbranch,event,right,bottom,long,2.0,RC
5,chain_RM,chain,,right,,medium,,RC
5,branch_RTSE3,dualbranch,event,right,bottom,short,6.0,RC_IC
5,chain_RS,chain,,right,,short,,RC_IC
5,branch_RTSE1,dualbranch,event,right,bottom,short,2.0,RC_IC
5,branch_RTSS,dualbranch,state,right,top,short,,RC_IC
5,branch_RTLE3,dualbranch,event,right,bottom,long,6.0,RC
5,branch_RTLS,dualbranch,state,right,top,long,,RC
5,branch_RTME1,dualbranch,event,right,bottom,medium,2.0,RC
6,chain_RM,chain,,left,,medium,,RC
6,branch_RTSS,dualbranch,state,left,bottom,short,,RC_IC
6,branch_RTSE3,dualbranch,event,left,bottom,short,6.0,RC_IC
6,chain_RL,chain,,left,,long,,RC
6,branch_RTLE3,dualbranch,event,left,bottom,long,6.0,RC
