participantnum,stimulusid,stimulustype,orientation,position,order,response
35,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
35,UBS_RTb,dualbranch,left,top,RD_ID_RC,RC
35,chainS_Rb,chain,left,,,RC
35,UAS_RTb,dualbranch,left,top,RD_ID_RC,RC
35,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RD
35,UBBS_RTb,dualbranch,left,top,RC_RD_ID,RC
36,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,RC
36,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,RD
36,UBBS_RTb,dualbranch,right,bottom,RC_RD_ID,RD
36,UBAS_RTb,dualbranch,right,top,RD_RC_ID,RC
36,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
36,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
36,chainS_Rb,chain,right,,,RC
37,UAS_RTb,dualbranch,left,top,RD_ID_RC,RD
37,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
37,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
37,chainS_Rb,chain,left,,,RC
37,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RC
37,UAAS_RTb,dualbranch,left,top,RC_RD_ID,RD
37,UBBS_RTb,dualbranch,left,top,RC_RD_ID,RC
38,UAS_RTb,dualbranch,left,top,RD_ID_RC,RC
38,chainS_Rb,chain,left,,,RC
38,UABS_RTb,dualbranch,left,top,RD_RC_ID,RC
38,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
38,UBS_RTb,dualbranch,left,top,RD_ID_RC,RC
38,UAAS_RTb,dualbranch,left,top,RC_RD_ID,RC
38,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RC
39,UBBS_RTb,dualbranch,left,top,RC_RD_ID,IC
39,UBAS_RTb,dualbranch,left,top,RD_RC_ID,IC
39,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,IC
39,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,IC
39,UAAS_RTb,dualbranch,left,top,RC_RD_ID,IC
39,UBS_RTb,dualbranch,left,top,RD_ID_RC,IC
39,chainS_Rb,chain,left,,,IC
40,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RD
40,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
40,chainS_Rb,chain,left,,,RC
40,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RC
40,UBBS_RTb,dualbranch,left,top,RC_RD_ID,RD
40,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
40,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
41,chainS_Rb,chain,right,,,RC
41,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,RD
41,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,RD
41,UBBS_RTb,dualbranch,right,bottom,RC_RD_ID,RC
41,UAAS_RTb,dualbranch,right,top,RC_RD_ID,RC
41,UABS_RTb,dualbranch,right,top,RD_RC_ID,RD
41,UBAS_RTb,dualbranch,right,top,RD_RC_ID,RD
42,UBS_RTb,dualbranch,left,top,RD_ID_RC,RC
42,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
42,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RC
42,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RD
42,UBBS_RTb,dualbranch,left,top,RC_RD_ID,RC
42,UAS_RTb,dualbranch,left,top,RD_ID_RC,RC
42,chainS_Rb,chain,left,,,RC
43,UBBS_RTb,dualbranch,right,bottom,RC_RD_ID,RC
43,chainS_Rb,chain,right,,,IC
43,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,IC
43,UAAS_RTb,dualbranch,right,top,RC_RD_ID,IC
43,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,IC
43,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
43,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
44,UBS_RTb,dualbranch,right,top,RD_ID_RC,RD
44,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,RD
44,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,RC
44,chainS_Rb,chain,right,,,RC
44,UBBS_RTb,dualbranch,right,bottom,RC_RD_ID,RD
44,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,RD
44,UABS_RTb,dualbranch,right,top,RD_RC_ID,RC
45,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,IC
45,UAS_RTb,dualbranch,left,top,RD_ID_RC,IC
45,chainS_Rb,chain,left,,,IC
45,UABS_RTb,dualbranch,left,top,RD_RC_ID,IC
45,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,IC
45,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,IC
45,UBBS_RTb,dualbranch,left,top,RC_RD_ID,IC
46,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
46,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
46,UBBS_RTb,dualbranch,right,top,RC_RD_ID,IC
46,UABS_RTb,dualbranch,right,top,RD_RC_ID,IC
46,chainS_Rb,chain,right,,,IC
46,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,IC
46,UBAS_RTb,dualbranch,right,top,RD_RC_ID,IC
47,UBBS_RTb,dualbranch,right,bottom,RC_RD_ID,otherC
47,UAAS_RTb,dualbranch,right,top,RC_RD_ID,otherC
47,UBS_RTb,dualbranch,right,top,RD_ID_RC,otherD
47,chainS_Rb,chain,right,,,otherC
47,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,otherD
47,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,otherD
47,UAS_RTb,dualbranch,right,top,RD_ID_RC,otherD
48,UAAS_RTb,dualbranch,right,top,RC_RD_ID,IC
48,UABS_RTb,dualbranch,right,top,RD_RC_ID,IC
48,UBS_RTb,dualbranch,right,top,RD_ID_RC,IC
48,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
48,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,IC
48,UBBS_RTb,dualbranch,right,bottom,RC_RD_ID,IC
48,chainS_Rb,chain,right,,,IC
49,UBBS_RTb,dualbranch,right,bottom,RC_RD_ID,IC
49,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
49,UBAS_RTb,dualbranch,right,top,RD_RC_ID,IC
49,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,IC
49,UAAS_RTb,dualbranch,right,top,RC_RD_ID,IC
49,chainS_Rb,chain,right,,,RC
49,UBS_RTb,dualbranch,right,top,RD_ID_RC,IC
50,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,IC
50,UABS_RTb,dualbranch,left,top,RD_RC_ID,IC
50,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,IC
50,UBS_RTb,dualbranch,left,top,RD_ID_RC,IC
50,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,IC
50,chainS_Rb,chain,left,,,IC
50,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,IC
51,UBS_RTb,dualbranch,left,top,RD_ID_RC,IC
51,UABS_RTb,dualbranch,left,top,RD_RC_ID,RC
51,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RD
51,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
51,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RD
51,chainS_Rb,chain,left,,,RC
51,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RC
52,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,GCM
52,chainS_Rb,chain,right,,,RC
52,UABS_RTb,dualbranch,right,top,RD_RC_ID,RC
52,UAS_RTb,dualbranch,right,top,RD_ID_RC,RC
52,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
52,UBBS_RTb,dualbranch,right,top,RC_RD_ID,RC
52,UAAS_RTb,dualbranch,right,top,RC_RD_ID,RC
53,chainS_Rb,chain,right,,,GCM
53,UAS_RTb,dualbranch,right,top,RD_ID_RC,GCM
53,UBAS_RTb,dualbranch,right,top,RD_RC_ID,IC
53,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,IC
53,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
53,UABS_RTb,dualbranch,right,top,RD_RC_ID,IC
53,UBBS_RTb,dualbranch,right,bottom,RC_RD_ID,IC
54,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
54,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,RD
54,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
54,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
54,UAS_RTb,dualbranch,left,top,RD_ID_RC,RC
54,chainS_Rb,chain,left,,,RC
54,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
55,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,RD
55,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
55,chainS_Rb,chain,right,,,GCM
55,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,GCM
55,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,GCM
55,UBAS_RTb,dualbranch,right,top,RD_RC_ID,GCM
55,UBBS_RTb,dualbranch,right,top,RC_RD_ID,GCM
56,chainS_Rb,chain,left,,,RC
56,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RC
56,UBS_RTb,dualbranch,left,top,RD_ID_RC,RC
56,UAAS_RTb,dualbranch,left,top,RC_RD_ID,RC
56,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
56,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
56,UAS_RTb,dualbranch,left,top,RD_ID_RC,RC
57,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
57,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
57,UBBS_RTb,dualbranch,left,top,RC_RD_ID,IC
57,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
57,UABS_RTb,dualbranch,left,top,RD_RC_ID,RC
57,chainS_Rb,chain,left,,,RC
57,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,IC
58,UAS_RTb,dualbranch,left,top,RD_ID_RC,RC
58,chainS_Rb,chain,left,,,RC
58,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
58,UABS_RTb,dualbranch,left,top,RD_RC_ID,RC
58,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RD
58,UBS_RTb,dualbranch,left,top,RD_ID_RC,RC
58,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
59,UAS_RTb,dualbranch,left,top,RD_ID_RC,RD
59,UABS_RTb,dualbranch,left,top,RD_RC_ID,otherD
59,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
59,UBS_RTb,dualbranch,left,top,RD_ID_RC,RC
59,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
59,chainS_Rb,chain,left,,,RC
59,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
60,UBS_RTb,dualbranch,right,top,RD_ID_RC,IC
60,chainS_Rb,chain,right,,,IC
60,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,IC
60,UBBS_RTb,dualbranch,right,top,RC_RD_ID,IC
60,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,IC
60,UAS_RTb,dualbranch,right,top,RD_ID_RC,IC
60,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,IC
61,UAAS_RTb,dualbranch,right,top,RC_RD_ID,otherD
61,UABS_RTb,dualbranch,right,top,RD_RC_ID,IC
61,UBAS_RTb,dualbranch,right,top,RD_RC_ID,otherC
61,UBS_RTb,dualbranch,right,top,RD_ID_RC,otherD
61,UBBS_RTb,dualbranch,right,top,RC_RD_ID,otherC
61,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,otherC
61,chainS_Rb,chain,right,,,otherC
62,UAS_RTb,dualbranch,left,top,RD_ID_RC,IC
62,UBS_RTb,dualbranch,left,top,RD_ID_RC,IC
62,UBAS_RTb,dualbranch,left,top,RD_RC_ID,IC
62,chainS_Rb,chain,left,,,IC
62,UAAS_RTb,dualbranch,left,top,RC_RD_ID,IC
62,UABS_RTb,dualbranch,left,top,RD_RC_ID,IC
62,UBBS_RTb,dualbranch,left,top,RC_RD_ID,IC
63,chainS_Rb,chain,right,,,IC
63,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,IC
63,UBS_RTb,dualbranch,right,top,RD_ID_RC,IC
63,UBAS_RTb,dualbranch,right,top,RD_RC_ID,IC
63,UBBS_RTb,dualbranch,right,top,RC_RD_ID,IC
